,Income,Tenure,Bandwidth_GB_Year,churn_dummy
0,28561.99,6.795512947,904.5361102,0
1,21704.77,1.156680997,800.9827661,1
2,9609.57,15.75414408,2054.706961,0
3,18925.23,17.08722662,2164.579412,0
4,40074.19,1.670971726,271.4934362,1
5,22660.2,7.000993555,1039.357983,0
6,11467.5,13.23677381,1907.242972,1
7,26759.64,4.26425515,979.6127078,1
8,58634.51,8.220686373,1312.874964,0
9,50231.4,3.422086139,508.7637913,0
10,22580.7,19.26726194,2728.767869,0
11,18342.12,10.52199781,1180.588788,0
12,83671.08,13.01149229,1196.388018,0
13,115114.57,16.87922024,1948.694497,0
14,64256.81,10.06019902,1582.295235,1
15,89061.45,13.87001293,1840.014467,1
16,31659.3,15.78214958,2070.376729,1
17,44142.81,2.303331273,882.0985933,1
18,39262.14,17.10995632,1833.0967,0
19,19494.75,12.80615845,1954.080809,1
20,39624.21,20.45390977,2330.319383,0
21,45714.47,2.415991977,594.1054279,0
22,27442.03,6.652298992,713.0633088,0
23,79699.62,8.543717478,945.3802928,0
24,28520.32,5.770390256,870.76398,1
25,12558.83,4.157658837,774.2937069,1
26,8762.23,10.40566091,1506.446527,1
27,43882.72,1.392421597,419.0508708,1
28,10482.52,1.430386349,1259.415493,1
29,33442.79,5.425864884,1745.125956,1
30,43383.54,11.08287797,1795.465729,0
31,21793.88,3.586184954,492.4771472,0
32,51960.51,4.727388465,1013.993166,1
33,25942.1,20.89923386,2680.762173,1
34,11211.59,3.471329958,1081.814362,1
35,8283.29,5.478588204,1209.961168,1
36,10114.81,3.312991809,897.5919144,1
37,36229.21,7.161561527,1340.930156,0
38,25397.44,9.847563364,1113.993679,0
39,50336.5,16.04202196,1530.10769,0
40,38211.37,9.179779682,1310.137419,0
41,52887.26,3.002844144,892.8964931,0
42,12003.33,3.924254455,1125.581944,1
43,24090.62,18.55959629,2016.710031,0
44,15137.93,8.798394712,1412.736809,1
45,54458.38,10.377366,1710.689671,1
46,132116.33,22.25746016,2384.885909,1
47,37358.13,9.427146079,1213.940165,1
48,26534.16,7.760290062,740.010722,0
49,76430.83,11.56938439,897.9716153,0
50,4662.37,3.343811019,1026.387172,1
51,43820.85,7.338869531,1234.244324,1
52,38391.55,5.486534225,727.3731845,0
53,44137.6,1.55278221,452.8721504,1
54,14364.65,12.07970325,1296.674543,1
55,62359.91,13.98666226,1840.628269,0
56,82634.86,9.563362997,1324.330108,1
57,15690.25,6.732948946,958.1397059,0
58,14568.7,15.72071086,1868.864027,1
59,29207.46,7.233605493,676.712908,0
60,55319.23,2.871017037,1086.990308,0
61,81831.49,2.344875382,704.7540406,0
62,100076.65,7.960490246,1416.444695,1
63,69965.65,12.25062113,1095.950634,0
64,34883.69,9.634946079,1083.610268,0
65,45634.2,7.916533093,1570.641337,0
66,10964.73,4.471254161,1007.425553,1
67,22365.28,10.79028074,1323.028419,1
68,52636.6,12.24190682,1808.730555,0
69,19048.13,2.203859443,1120.241472,1
70,42784.82,23.92132231,2676.789803,1
71,77996.88,3.7311787,1268.086909,1
72,47507.3,7.980015371,822.6771666,0
73,7724.73,9.190009376,1577.915603,1
74,1509.52,2.378630018,648.7471776,1
75,81124.71,5.43464555,1648.102673,1
76,11795.57,1.092361222,768.0874545,1
77,74794.84,20.13981517,2426.030626,0
78,19038.78,24.64873861,2660.503932,1
79,79167.77,9.677739656,1129.549713,0
80,37428.26,9.82814183,1771.286466,1
81,45148.38,7.832238337,943.3391244,0
82,74855.47,19.45250317,1907.226083,0
83,45323.86,14.34766616,1885.939118,0
84,71596.14,2.257358355,631.7435653,0
85,10389.95,2.358129018,562.6095219,0
86,19657.14,4.650578623,593.8572264,0
87,27827.03,3.721772616,777.3060718,1
88,15609.05,3.76663012,1393.202392,1
89,19815.63,4.151256695,393.6524652,0
90,58482.9,2.188918771,409.7486664,1
91,41656.53,13.85488928,2138.107161,1
92,115510.46,3.273341151,443.984031,0
93,15841.19,19.75096265,2481.385603,1
94,81127.41,18.38404445,2233.567181,0
95,24270.88,4.672610857,1158.91369,1
96,54466.33,6.796299371,529.40733,0
97,64816.84,12.97632235,1956.7337,1
98,103311.26,20.31163945,2056.386979,0
99,40211.04,6.998814446,1067.373076,0
100,58077.38,14.46288204,1806.135733,1
101,43466.35,11.13472066,1397.701335,0
102,23289.77,2.542296644,808.4305471,1
103,49158.49,17.22596021,1886.531937,0
104,3805.84,22.79214163,2294.781131,1
105,52616.27,3.823689744,826.3438621,1
106,30550.42,10.77094687,2072.564168,1
107,12154.01,13.08671185,1436.793746,1
108,30649.31,14.76468813,1963.332683,1
109,31417.33,9.473091121,1324.164906,1
110,55861.19,5.197446331,704.9375603,0
111,9044.26,6.577552683,888.6517305,1
112,25381.66,3.174571918,377.0810282,1
113,65064.31,17.88002366,1606.489936,0
114,12527.51,13.12190056,1431.409396,1
115,35499.06,23.34617699,2253.85247,0
116,26282.4,6.311709178,1353.29384,0
117,51237.28,12.58298231,1701.457566,0
118,64222.21,7.120096363,1290.737183,1
119,11014.98,9.344886869,1403.270091,1
120,21172.49,22.37815032,2603.903672,0
121,26130.78,4.799514433,1256.287854,1
122,36478.21,10.04672315,980.9935923,0
123,54533.63,8.156552837,1347.869205,0
124,37103.18,7.992791229,1127.267848,0
125,74679.84,7.231032028,1269.836202,0
126,95028.57,4.627672042,1038.745378,1
127,34281.1,10.05306287,1531.155367,0
128,36240.81,4.171044392,991.2441024,0
129,9515.64,4.568682641,1244.296865,1
130,125814.88,6.085030507,1162.332926,1
131,12995.68,2.730250735,577.1157824,0
132,77531.43,8.574901206,1442.974877,1
133,87354.99,9.743201772,1577.208717,1
134,76567.85,9.482919033,886.9398744,0
135,30663.52,8.447988841,1065.06443,0
136,122957.19,6.365998533,951.886985,0
137,31600.92,7.251397592,1404.435534,0
138,74638.78,14.64011644,1925.911722,1
139,32652.3,11.71637124,1805.011298,1
140,63650.54,4.13273503,700.7343179,0
141,28622.6,2.887429547,513.237305,1
142,50252.79,3.303030246,717.3876564,0
143,19800.81,5.15825129,1313.492851,0
144,35954.77,3.237560234,819.4195269,1
145,36342.31,2.733109234,882.1160656,1
146,48715.53,3.180102025,724.7803356,1
147,23204.98,15.85983755,1829.270014,0
148,35302.52,11.73724209,1668.199119,1
149,54895.16,7.006240694,1124.353152,1
150,60398.06,5.562130367,1316.239744,1
151,8115.88,14.53027663,1637.201426,0
152,33858.66,5.905906389,951.8524406,0
153,29950.47,3.260462654,1248.097652,1
154,49421.69,18.91276578,2220.255405,0
155,11061.05,14.25617986,1669.202417,0
156,15388.32,7.983887266,990.0555076,1
157,20624.31,5.969967132,967.9819136,0
158,47877.81,19.95277818,2190.259876,1
159,46154.17,14.85781115,1445.752781,0
160,107111.8,2.600063739,528.6553088,1
161,10403.59,11.92299244,1296.481055,1
162,22412.6,5.972864167,1195.393037,0
163,19476.27,10.87555535,1700.121992,1
164,96382.76,16.00330155,2120.673828,1
165,28022.56,12.63074989,1238.421347,0
166,35478.4,8.4944392,847.110799,0
167,10155.51,8.044444101,1112.937102,1
168,87537.25,12.07358377,1623.045026,0
169,34112.1,10.21634248,1479.730181,1
170,32653.51,15.50354683,2144.735024,1
171,35321.46,13.88004531,1522.289512,1
172,49277.48,19.48900163,1974.780054,0
173,37297.82,10.01771765,1261.177198,1
174,14928.96,7.34059599,939.7181324,0
175,24702.68,12.64742067,1357.062854,1
176,87535.71,8.850426839,1456.887443,0
177,63166.87,3.701557118,937.5863866,1
178,11856.81,2.976033785,830.1193011,0
179,27326.79,5.522376826,737.8564608,0
180,12779.23,15.64596698,1781.854862,1
181,25519.91,23.00764441,2464.577489,1
182,46871.21,17.24924155,2392.203409,0
183,77383.72,13.01107597,1664.19271,1
184,47395.3,5.104082209,1433.616898,1
185,90977.74,3.521499924,823.4933243,0
186,135727.71,8.08137067,1468.357421,0
187,47726.25,1.875430489,590.7765801,1
188,51721.64,5.587484456,418.6206885,0
189,41531.03,7.007695148,1181.991846,0
190,33504.8,1.408375942,733.4036934,0
191,34197.3,11.64983735,1719.173387,1
192,11518.58,2.964559883,1205.956363,1
193,31065.17,10.25635754,1261.032763,0
194,32097.17,3.892407013,741.7766988,1
195,23424.88,3.226996711,932.6084359,1
196,35988.24,15.87685513,1708.614019,0
197,35539.7,5.874064017,1363.58603,0
198,27959.34,3.756359276,472.1057019,0
199,52232.97,2.905283283,558.2340556,0
200,18198.59,1.474810061,815.194738,1
201,16851.94,18.56165869,2007.303617,1
202,16440.05,12.39088509,2088.48083,1
203,44223.58,14.17192333,1430.761492,0
204,33343.73,3.86023041,822.3008694,0
205,30664.56,17.72593456,2059.200998,1
206,31934.04,3.043063167,617.542543,0
207,26676.4,5.827112819,758.4775985,0
208,67211.95,4.648958177,894.6733856,1
209,31136.77,11.96274778,1639.898269,0
210,40660.84,4.525864256,710.7541633,0
211,10606.59,8.038308899,1092.226042,0
212,92447.71,1.416592892,757.0097075,0
213,13612.16,19.83504645,2301.850721,0
214,13765.39,15.85002222,2401.406545,1
