,0,1
0,70.10448,6417.345247
1,9.300517617,2113.787891
0,11.72200614,1593.466069
0,60.20473,5615.851877
0,56.08175,5566.092166
0,52.66447,4724.802444
0,58.95425,4930.445331
1,48.00544,4794.505137
1,8.187262,808.4971819
0,13.29584,1392.096076
0,55.3519,4851.255631
0,12.07358377,1623.045026
0,25.72493,2354.102724
0,48.31617,4697.773285
0,70.36396,6136.653635
0,52.68582,4878.104493
0,58.50824,5214.115508
0,46.55588,4232.407012
0,15.46234,1786.342426
0,64.02401,5934.141788
0,68.79305,5837.262258
0,59.6819,5346.463188
0,42.82228,3860.25038
0,65.44503,6184.758563
0,59.25503,5360.153324
0,50.8022,4815.694058
0,4.525864256,710.7541633
0,61.62973,5175.585295
1,11.92905011,1851.152977
1,9.472450618,1114.13669
0,2.237136,733.0142637
0,59.14141,5940.651428
1,12.01513041,2138.553831
0,68.77621,6071.79498
0,1.76975,483.0491679
1,6.21102,1494.533376
0,46.05744,4193.703815
0,9.8256,1306.270891
0,67.09737,6335.700634
0,44.21572,4222.497317
0,21.19498,2458.677481
1,1.156719701,358.4232611
0,17.7076,2217.378277
0,56.50306,5210.243584
1,12.5247,1555.075783
0,43.86844,3992.718989
0,71.86603,6619.456202
0,17.76511,2000.801151
0,3.081551,843.4262718
0,68.6711,6192.288655
0,68.02064,6530.78052
1,6.708628,1390.143881
0,71.07998,6522.842043
1,7.816831,1479.383716
0,58.09895,5698.426541
0,64.67686,5687.504971
0,49.01677,4249.059682
0,1.715329149,250.9270047
0,10.269,1620.308367
0,47.43916,4526.335532
1,8.294910436,1048.128938
1,12.3548,2102.1428
0,69.35043,5780.643396
0,68.65945,6503.984053
0,52.98326,4645.007236
0,46.30752,3866.67814
0,58.34548,5567.462774
0,1.350108155,411.2961627
1,6.766267697,1044.435554
1,7.698157,1683.821351
0,17.80378998,2283.692222
1,2.108436,702.1831409
0,40.8394,3961.965984
1,3.613493,1385.346757
0,70.44254,6372.288678
0,65.28923,6165.048793
0,63.42517,5552.848067
0,43.46156,3871.367991
0,64.50684,5772.353993
1,22.25746016,2384.885909
0,11.08287797,1795.465729
0,63.64621,5503.629445
0,64.11078,5813.064092
0,12.13508874,1729.34277
1,14.98166868,1890.640168
1,21.13118502,2543.181756
0,44.72714,4384.720336
1,5.695207,1220.191739
0,18.8572,1819.57724
0,8.584144,1077.237101
1,55.49261,5277.646823
0,16.52138638,1568.47416
1,37.45999,4019.898568
1,14.29414,1838.646452
0,17.52138221,1866.966586
0,1.235589507,296.9963678
1,14.91353,1806.936325
0,9.086633107,1118.646915
1,11.4255,1452.597026
0,70.52836,6473.783327
0,70.69523,6677.35743
1,8.713385365,1141.532192
1,2.327566,1117.725477
1,5.461422,1193.11856
1,49.18219,4756.00161
1,54.23273,4968.719293
0,29.10639477,2678.418264
0,8.574964,1296.081512
0,63.66258,6396.483969
0,9.388962,1262.469988
0,40.46026,3693.943211
0,70.37667,6179.8226
1,6.577552683,888.6517305
0,43.5663,4254.251624
0,24.77634001,2729.316361
0,64.62103,5748.202465
0,6.585140105,942.2015895
0,3.999030359,886.340074
0,56.70254,5429.870356
0,7.602068,646.8507919
1,12.52485764,2138.661668
0,67.20585,6294.425576
0,61.83307,5931.842515
0,20.5032,2068.674053
0,5.321365,502.9172945
1,1.726822,850.0650584
0,60.89236,5879.484066
0,46.91449,4391.256935
0,2.407697,270.9293518
1,7.25493599,1808.366194
1,5.877819,1060.698386
0,64.28075,5851.532323
0,6.998814446,1067.373076
0,71.20362,6015.340909
1,14.26615817,1696.133718
0,54.26571,5274.06662
0,2.198687,410.7935286
0,65.55327,5730.023775
0,4.343093,1137.986536
0,16.41429,1452.568552
0,9.573255,1194.501468
0,3.30098,594.5452132
0,68.59815,5957.424012
0,62.43504,5681.838688
0,49.88118,4361.159098
1,3.847102787,875.8840004
0,1.815836226,369.7619068
0,47.96511,4181.676431
0,52.11755,4993.106421
0,13.59261,1803.186158
1,6.343374736,1207.841461
0,16.19111,1954.817992
0,2.888303,296.7260391
0,10.32752,1274.789671
0,63.72204,5507.943409
1,11.00718,1373.225547
0,4.078283,426.4255699
1,5.257695,1026.361306
0,59.97805,5464.592624
0,53.32394,4839.528738
0,61.37365,5626.567359
0,37.04844,3715.869075
0,69.59341,6309.777908
0,62.19865,5527.897933
1,48.76309,4409.527019
0,58.58252,5062.276295
1,2.437089876,909.6827162
1,66.50393,6605.855412
0,65.32158,5748.685143
0,64.42046,6072.987281
0,61.72165,5563.392672
0,56.19138,5533.878378
0,67.11808,6071.058616
1,14.5875554,1674.078908
0,70.32404,6325.692413
1,10.12123118,1359.631961
1,1.481306,650.9200141
0,3.662342,321.8958659
1,15.64596698,1781.854862
1,8.944195,1231.728594
0,15.02077659,1630.020341
0,14.23594392,1507.046722
0,54.38925,4952.728891
0,64.49513,6309.663687
0,2.981008475,477.2500925
0,20.3759,1958.648355
0,58.40532,5597.924969
0,14.87053577,1737.873621
0,70.35146,5931.909999
0,7.336939062,952.3729916
0,61.10961,5735.231545
0,50.09713,4970.689824
0,8.752114,1180.747336
1,2.958575,531.0770713
1,31.79027,3575.871459
0,62.79035,5401.505392
0,62.76356,5361.461661
0,3.080084,436.2644992
1,9.648973,1278.614923
0,48.56433,4807.120751
0,44.47594,4735.622867
0,67.18331,5705.264431
0,63.3194,6050.815837
0,15.54170472,2100.288363
0,55.83128,5122.454947
